champion,result,kills,deaths,assists
Aatrox,0.48338983050847456,2.3966101694915256,2.4535593220338985,4.074576271186441
Ahri,0.5134615384615384,3.2673076923076922,1.8653846153846154,6.140384615384615
Akali,0.5349099099099099,3.990990990990991,2.2646396396396398,3.9718468468468466
Akshan,0.47368421052631576,2.736842105263158,2.789473684210526,3.3684210526315788
Alistar,0.5051546391752577,0.6771907216494846,3.0141752577319587,7.999355670103093
Amumu,0.43529411764705883,0.7529411764705882,4.0588235294117645,8.494117647058824
Anivia,0.46153846153846156,2.1923076923076925,1.2692307692307692,4.461538461538462
Annie,0.5,3.0,3.375,7.5
Aphelios,0.5015228426395939,3.715736040609137,2.232994923857868,4.356345177664974
Ashe,0.5189125295508275,2.854609929078014,2.1914893617021276,6.053191489361702
Aurelion Sol,0.42424242424242425,2.696969696969697,2.3636363636363638,4.878787878787879
Azir,0.5012391573729864,2.8884758364312266,2.2156133828996283,4.439900867410161
Bard,0.5471698113207547,0.9150943396226415,2.270440251572327,8.867924528301886
Bel'Veth,0.46153846153846156,2.4615384615384617,3.3846153846153846,4.153846153846154
Blitzcrank,0.47107438016528924,0.9256198347107438,3.049586776859504,7.033057851239669
Brand,0.42857142857142855,1.8571428571428572,2.5714285714285716,4.142857142857143
Braum,0.48710433763188743,0.41090269636576787,2.4654161781946073,7.945486518171161
Caitlyn,0.47761194029850745,3.603411513859275,1.9829424307036247,4.025586353944563
Camille,0.5275519421860885,2.957542908762421,2.816621499548329,4.59349593495935
Cassiopeia,0.4722222222222222,3.2881944444444446,2.375,4.625
Cho'Gath,0.5306122448979592,2.4030612244897958,2.316326530612245,4.035714285714286
Corki,0.5133333333333333,3.4555555555555557,1.9355555555555555,4.463333333333333
Darius,0.43119266055045874,3.2477064220183487,2.981651376146789,3.330275229357798
Diana,0.5416666666666666,3.0808823529411766,2.875,6.392156862745098
Dr. Mundo,0.44569288389513106,1.7640449438202248,2.0861423220973783,4.258426966292135
Draven,0.5339805825242718,4.184466019417476,2.354368932038835,4.985436893203883
Ekko,0.4935897435897436,3.5576923076923075,2.173076923076923,4.423076923076923
Elise,0.49226006191950467,2.3962848297213624,2.708978328173375,5.1114551083591335
Evelynn,0.5483870967741935,4.935483870967742,3.193548387096774,6.193548387096774
Ezreal,0.4761003312825367,3.240889730241363,1.7927117841930904,4.221486038807383
Fiddlesticks,0.4146341463414634,1.3658536585365855,3.4390243902439024,7.012195121951219
Fiora,0.4976958525345622,2.792626728110599,2.3502304147465436,2.8847926267281108
Fizz,0.6,5.2,3.1,4.2
Galio,0.49777777777777776,1.8693333333333333,2.5733333333333333,7.205333333333333
Gangplank,0.522181146025878,2.6007393715341958,2.3234750462107208,5.382624768946395
Garen,0.4444444444444444,3.111111111111111,2.6666666666666665,5.0
Gnar,0.496551724137931,2.122257053291536,2.4996865203761756,4.664576802507837
Gragas,0.5066294487090021,1.8143754361479414,2.547801814375436,6.2177250523377525
Graves,0.46350832266325226,2.9603072983354672,2.407170294494238,4.759282970550577
Gwen,0.4879807692307692,2.9278846153846154,2.75,4.054086538461538
Hecarim,0.5246478873239436,2.829225352112676,2.6056338028169015,7.198943661971831
Heimerdinger,0.35294117647058826,2.176470588235294,2.235294117647059,3.588235294117647
Illaoi,0.36363636363636365,1.6363636363636365,3.9545454545454546,2.6818181818181817
Irelia,0.4754358161648177,3.480190174326466,3.185419968304279,4.326465927099841
Ivern,0.6111111111111112,0.6666666666666666,1.2777777777777777,7.444444444444445
Janna,0.484375,0.546875,1.890625,7.46875
Jarvan IV,0.4750853242320819,1.4969283276450511,2.8901023890784985,8.285324232081912
Jax,0.49554896142433236,2.6617210682492582,2.5578635014836797,3.6142433234421363
Jayce,0.5403624382207578,2.967051070840198,2.7495881383855023,4.845963756177924
Jhin,0.41814159292035397,3.5730088495575223,1.8185840707964602,5.04646017699115
Jinx,0.5142576204523107,3.9478859390363814,2.050147492625369,4.809242871189774
