count,playrate,wins,winrate,champ1,champ2
653,0.3102137767220903,358,0.5482388973966309,Xayah,Rakan
500,0.17164435290078955,258,0.516,Aphelios,Thresh
381,0.10545253252145032,189,0.49606299212598426,Aphelios,Nautilus
353,0.11314102564102564,186,0.5269121813031161,Varus,Tahm Kench
341,0.11419959812458139,186,0.5454545454545454,Kai'Sa,Alistar
337,0.08882445967316815,170,0.5044510385756676,Lee Sin,Aphelios
332,0.0952107829079438,158,0.4759036144578313,Ezreal,Braum
303,0.07843644835619984,153,0.504950495049505,Ezreal,Tahm Kench
303,0.07805255023183925,155,0.5115511551155115,Lee Sin,Nautilus
299,0.12375827814569536,155,0.5183946488294314,Senna,Tahm Kench
284,0.08079658605974395,122,0.4295774647887324,Kai'Sa,Nautilus
280,0.0701051577366049,142,0.5071428571428571,Lee Sin,Ezreal
262,0.07647402218330414,125,0.4770992366412214,Lee Sin,Leona
254,0.085177733065057,118,0.4645669291338583,Lee Sin,LeBlanc
246,0.08541666666666667,130,0.5284552845528455,Varus,Braum
244,0.061460957178841306,130,0.5327868852459017,Lee Sin,Tahm Kench
223,0.06595681750961255,120,0.5381165919282511,Lee Sin,Thresh
223,0.0652619256657887,114,0.5112107623318386,Ezreal,Leona
221,0.0825242718446602,119,0.5384615384615384,Ashe,Tahm Kench
220,0.09821428571428571,115,0.5227272727272727,Jinx,Thresh
216,0.06833280607402721,110,0.5092592592592593,Sejuani,Tahm Kench
206,0.07192737430167598,98,0.47572815533980584,Viego,Aphelios
204,0.05890846087207623,116,0.5686274509803921,Azir,Tahm Kench
201,0.05482815057283143,89,0.4427860696517413,Lee Sin,Braum
196,0.05942995755003032,84,0.42857142857142855,Zoe,Ezreal
196,0.06641816333446289,97,0.49489795918367346,Gnar,Alistar
193,0.06321650835244022,106,0.5492227979274611,Trundle,Aphelios
192,0.06054872280037843,97,0.5052083333333334,Ornn,Aphelios
192,0.05922270203578038,102,0.53125,Zoe,Tahm Kench
192,0.05809379727685325,99,0.515625,Aphelios,Leona
192,0.06671299513551077,104,0.5416666666666666,Jinx,Tahm Kench
191,0.05821395915879305,87,0.45549738219895286,Renekton,Nautilus
189,0.053420011305822496,85,0.4497354497354497,Azir,Ezreal
188,0.05433526011560694,100,0.5319148936170213,Gnar,Tahm Kench
188,0.06403269754768393,83,0.44148936170212766,Viego,Nautilus
187,0.05509723040659988,100,0.5347593582887701,Lee Sin,Varus
186,0.07299843014128729,82,0.44086021505376344,Ezreal,Yuumi
186,0.06540084388185655,89,0.478494623655914,Sejuani,Braum
185,0.15934539190353145,94,0.5081081081081081,Lucian,Nami
185,0.0608953258722844,102,0.5513513513513514,Renekton,Kai'Sa
182,0.0535924617196702,91,0.5,Jarvan IV,Ezreal
182,0.053798403783624,82,0.45054945054945056,Gnar,Aphelios
182,0.08878048780487804,87,0.47802197802197804,Camille,Galio
181,0.05675760426465977,96,0.5303867403314917,Gnar,Kai'Sa
179,0.05250806688178351,81,0.45251396648044695,Aatrox,Ezreal
178,0.05313432835820896,93,0.5224719101123596,Aatrox,Tahm Kench
178,0.055057222394061245,84,0.47191011235955055,Ryze,Tahm Kench
178,0.059472101570330775,78,0.43820224719101125,Jarvan IV,Braum
177,0.05114128864490032,88,0.4971751412429379,Azir,Nautilus
176,0.06287959985709182,89,0.5056818181818182,Renekton,Leona
176,0.05044425336772714,80,0.45454545454545453,Ezreal,Alistar
174,0.06141899046946699,95,0.5459770114942529,Ornn,Azir
172,0.06007684247293049,69,0.4011627906976744,Xin Zhao,Aphelios
171,0.059581881533101046,78,0.45614035087719296,Jinx,Nautilus
170,0.059130434782608696,78,0.4588235294117647,LeBlanc,Aphelios
170,0.05077658303464755,89,0.5235294117647059,Jarvan IV,Tahm Kench
169,0.055592105263157894,95,0.5621301775147929,Gnar,Azir
169,0.04948755490483162,80,0.47337278106508873,Azir,Aphelios
168,0.05575838035180883,86,0.5119047619047619,Aatrox,Braum
168,0.05139186295503212,80,0.47619047619047616,Sejuani,Ezreal
168,0.05581395348837209,89,0.5297619047619048,Lee Sin,Jinx
167,0.054273643158921026,74,0.4431137724550898,Sylas,Nautilus
166,0.052398989898989896,88,0.5301204819277109,Lee Sin,Kalista
166,0.04403183023872679,78,0.46987951807228917,Lee Sin,Kai'Sa
166,0.04950790337011631,76,0.4578313253012048,Lee Sin,Ryze
164,0.053143227478937134,74,0.45121951219512196,Aatrox,Kai'Sa
164,0.06658546488022736,78,0.47560975609756095,Viego,Leona
164,0.05655172413793103,93,0.5670731707317073,Ryze,Braum
164,0.04669703872437358,86,0.524390243902439,Aphelios,Braum
164,0.04837758112094395,78,0.47560975609756095,Ornn,Lee Sin
163,0.06694045174537988,78,0.4785276073619632,Miss Fortune,Nautilus
163,0.06176582038651004,79,0.48466257668711654,Gwen,Aphelios
162,0.04792899408284024,92,0.5679012345679012,Lee Sin,Zoe
162,0.058357348703170026,94,0.5802469135802469,Sejuani,Azir
162,0.04854659874138448,66,0.4074074074074074,Aatrox,Nautilus
162,0.060111317254174394,68,0.41975308641975306,Lucian,Braum
160,0.047044986768597474,76,0.475,Renekton,Ezreal
159,0.053825321597833445,78,0.49056603773584906,Orianna,Aphelios
159,0.05779716466739367,75,0.4716981132075472,Ryze,Alistar
158,0.048466257668711654,86,0.5443037974683544,Renekton,Aphelios
157,0.05271994627266622,91,0.5796178343949044,Lee Sin,Syndra
156,0.050913838120104436,81,0.5192307692307693,Camille,Ezreal
156,0.04941400063351283,78,0.5,Olaf,Ezreal
156,0.049586776859504134,78,0.5,Kai'Sa,Leona
156,0.08099688473520249,87,0.5576923076923077,Xin Zhao,Jinx
156,0.05236656596173213,87,0.5576923076923077,Gangplank,Tahm Kench
156,0.046804680468046804,71,0.4551282051282051,Jarvan IV,Nautilus
154,0.04895104895104895,89,0.577922077922078,Trundle,Nautilus
153,0.03953488372093023,71,0.46405228758169936,Aphelios,Tahm Kench
153,0.048204158790170135,83,0.5424836601307189,Jayce,Ezreal
152,0.04854679016288726,74,0.4868421052631579,Kai'Sa,Rakan
150,0.045167118337850046,69,0.46,Ryze,Ezreal
149,0.05068027210884354,67,0.44966442953020136,Aatrox,Azir
148,0.05314183123877918,80,0.5405405405405406,Zoe,Alistar
148,0.042639008931143765,62,0.4189189189189189,Gnar,Nautilus
148,0.044073853484216795,66,0.44594594594594594,Ornn,Ezreal
148,0.042033513206475435,90,0.6081081081081081,Lee Sin,Rakan
147,0.04457246816252274,76,0.5170068027210885,Aatrox,Aphelios
147,0.04972936400541272,70,0.47619047619047616,Gnar,Rakan
147,0.04802352172492649,83,0.564625850340136,Gragas,Kai'Sa
147,0.04632839583989915,75,0.5102040816326531,Azir,Braum
146,0.047853162897410685,79,0.541095890410959,Kalista,Nautilus
145,0.046444586803331196,87,0.6,Jayce,Tahm Kench
144,0.05224963715529753,63,0.4375,Ezreal,Karma
144,0.06501128668171557,71,0.4930555555555556,Gwen,Leona
